"ZCTA5CE10","pc_park"
"02542",73.742
"02543",0.265
"02553",0.881
"02554",2.95
"02556",2.328
"02557",6.876
"02558",1.952
"02559",10.967
"02561",23.683
"02562",7.537
"02563",20.376
"02564",0.592
"75137",3.817
"75140",0.029
"75141",0.289
"75142",0.28
"75143",0.132
"75144",1.206
"75146",1.573
"75147",0.55
"75148",0.074
"75149",9.203
"75150",2.901
"75152",0
"75153",0
"75154",0.29
"75155",0
"75156",0.061
"75157",0
"70464",0
"75158",0
"70465",0.188
"80476",87.127
"80477",0
"80478",54.63
"70466",0.123
"80479",36.69
"75159",0.761
"70471",0.733
"80480",59.757
"80481",73.118
"75160",0.136
"80482",79.921
"80483",34.594
"70501",2.828
"42044",7.277
"48506",13.231
"42045",3.672
"42047",0
"42048",8.636
"42049",0.181
"48507",6.741
"42050",2.539
"42051",5.102
"48509",15.044
"48519",1.772
"48529",7.739
"42053",3.506
"42054",0
"48532",2.53
"48551",0
"48553",0
"48554",0
"27201",0
"27203",0.52
"27205",7.18
"27207",0.062
"27208",0
"27209",0.525
"27212",9.104
"27214",8.738
"27215",1.533
"27217",0.418
"27229",8.939
"27231",0.689
"27233",0.009
"27235",1.006
"27239",0.713
"27242",0
"27243",5.867
"27244",1.909
"27248",0.306
"27249",1.996
"27252",0.046
"27253",0.256
"27258",0.106
"27260",3.271
"27262",0.855
"27263",2.39
"27265",3.684
"27278",3.873
"27281",8.334
"27282",8.483
"27283",0.004
"27284",2.281
"27288",0.167
"27291",2.664
"27292",0.286
"27295",0.873
"27298",0.362
"27299",0.781
"27301",3.08
"27302",3.605
"43529",0
"43531",0
"43532",5.76
"43533",0
"43534",0.507
"43535",0
"43536",0
"43537",10.952
"43540",0
"43541",0
"43542",1.919
"43543",3.841
"43545",0.398
"43547",7.209
"43548",0
"43549",0.05
"43551",1.309
"43553",0
"43554",4.33
"43555",0
"43556",0.195
"43557",0.482
"43558",8.591
"43560",5.699
"43565",3.358
"43566",4.343
"43567",0.204
"84401",3.132
"73145",0
"73149",0.269
"71960",71.443
"73150",8.508
"73151",0
"71961",60.954
"84403",57.917
"71962",0
"71964",0
"73159",0.492
"71965",61.694
"71968",50.887
"71969",62.547
"71970",67.029
"71971",17.566
"71972",32.254
"73160",1.979
"71973",12.108
"71998",0
"71999",0
"84404",10.902
"72001",0
"73162",4.868
"94508",8.384
"94509",12.949
"94510",12.526
"94511",0
"94512",0
"94513",6.746
"94514",6.598
"94515",12.889
"94516",24.636
"94517",38.76
"94518",15.911
"94519",2.514
"94520",3.34
"94521",5.706
"94523",3.785
"94525",4.02
"94526",14.214
"94528",48.326
"94530",27.189
"94531",5.479
"94533",2.52
"94534",14.443
"94535",0
"94536",22.729
"94538",21.291
"94539",19.234
"94541",4.889
"48819",16.559
"39571",7.464
"42461",0.383
"39572",37.897
"42462",1.112
"42463",0
"48820",2.407
"42464",9.124
"48821",0.508
"48822",0.215
"39573",24.437
"42501",19.924
"39574",41.225
"48823",22.045
"48825",0.25
"39576",7.913
"42503",4.815
"42516",0
"42518",10.561
"48827",0.828
"42519",51.911
"39577",35.813
"48829",7.493
"42528",1.712
"42533",0
"48831",0.397
"48832",0.268
"39581",0.502
"48834",6.09
"42539",0.03
"42541",0
"48835",8.975
"48836",2.025
"42544",19.114
"42553",2.767
"42565",0
"95916",49.17
"95917",11.645
"95918",25.925
"95919",3.039
"95920",11.598
"95922",73.114
"95923",85.9
"95925",53.196
"95926",8.055
"95928",9.649
"95930",29.765
"95932",4.446
"95934",61.697
"95935",25.591
"95936",87.558
"95937",0.001
"95938",0.082
"95939",44.017
"95941",21.2
"95942",30.871
"95943",4.454
"95944",75.826
"95945",11.255
"95946",4.172
"95947",64.187
"95948",17.446
"95949",6.169
"95950",0
"95951",11.5
"95953",1.72
"95954",35.866
"95955",9.816
"95956",92.459
"95957",0.903
"95959",34.884
"95960",39.974
"95961",7.456
"95962",3.887
"95963",3.864
"95965",21.029
"95966",15.23
"33605",3.433
"37362",45.795
"33606",4.036
"37363",7.867
"37365",11.413
"23085",9.111
"43777",14.95
"43778",1.77
"49946",14.337
"43779",0
"23086",0
"49947",61.753
"43780",9.234
"23089",2.244
"43782",50.709
"23091",34.476
"49948",48.235
"23092",0
"43783",4.157
"43786",0
"49950",5.081
"49952",57.831
"43787",1.792
"53537",0
"61858",11.53
"61859",0.18
"61862",0
"61863",0.229
"53538",2.605
"53540",0.023
"61864",0.092
"53541",0
"61865",1.147
"53543",4.034
"53544",0.985
"61866",1.166
"53545",3.663
"61870",0
"61871",0
"61872",0
"61873",1.369
"61874",3.586
"61875",0.15
"53546",1.247
"61876",0
"61877",0
"61878",0.01
